# Format: Mod,Faction,Name,PlayerTech,Upgrade,SpecialPower
# 日冕 Mod 内置秘密协议与升级条目。PlayerTech/Upgrade 可直接授予；仅 SpecialPower 的条目保留为参考。
日冕,神州,机场科技,,Upgrade_CelestialAirfield,
日冕,神州,船坞科技,,Upgrade_CelestialNavalYard,
日冕,盟军,盟军科技 2,,Upgrade_AlliedTech2,
日冕,盟军,盟军科技 3,,Upgrade_AlliedTech3,
日冕,盟军,盟军科技 4,,Upgrade_AlliedTech4,
日冕,盟军,幻影坦克减速,,Upgrade_AlliedPrismTankReduceSpeed,
日冕,盟军,导弹拦截,,Upgrade_AlliedMissileIntercept,
日冕,盟军,航母无人机,,Upgrade_AlliedAircraftCarrierDrone,
日冕,盟军,先进稳相光学设备,,Upgrade_AlliedAdvancedPrismEquipment,
日冕,盟军,战场全面信息化,,Upgrade_AlliedCommandControlSystem,
日冕,盟军,维和分弹,,Upgrade_AlliedAircraftAutoDivideBombs,
日冕,盟军,世纪切换挂载,,,SpecialPower_ABAToggleHeavyRocket
日冕,盟军,超时空物流,PlayerTech_Allied_ChronoAccelerate,,SpecialPower_AlliedChronoAccelerate
日冕,苏联,导弹拦截,,Upgrade_SovietMissileIntercept,
日冕,苏联,复合装甲,,Upgrade_SovietCompositeArmor,
日冕,苏联,预充能线圈,,Upgrade_SovietImprovedTeslaCoil,
日冕,苏联,目标识别导引头,,Upgrade_SovietMultiModeGuidance,
日冕,苏联,伊尔切换挂载,,,SpecialPower_SUAttackerSwitchWeapon
日冕,苏联,磁暴突袭,PlayerTech_Soviet_TeslaAirAssault,,SpecialPower_SovietTeslaAirAssault
日冕,帝国,潜艇攻击,,Upgrade_JapanSubmarineAttack,
日冕,帝国,机甲冲刺,,Upgrade_JapanMechaRush,
日冕,帝国,高强度机械变形框架,,Upgrade_JapanNanoTransmissionStructure,
日冕,帝国,纳米维持力场,,Upgrade_JapanNanoSustainingForceField,
日冕,帝国,兵营科技 2,,Upgrade_JapanBarracksTech2,
日冕,帝国,兵营科技 3,,Upgrade_JapanBarracksTech3,
日冕,帝国,兵营科技 4,,Upgrade_JapanBarracksTech4,
日冕,帝国,工厂科技 2,,Upgrade_JapanWarFactoryTech2,
日冕,帝国,工厂科技 3,,Upgrade_JapanWarFactoryTech3,
日冕,帝国,工厂科技 4,,Upgrade_JapanWarFactoryTech4,
日冕,帝国,纳米维修虫群,PlayerTech_Japan_NanoMaintainHive,,SpecialPower_JapanNanoMaintainHive
